area_m2,avg_points_per_visit,cell_id,centroid_lat,centroid_lon,dist_to_road_m,dist_to_settlement_m,dist_to_water_m,entry_count,pct_crops,pct_forest,pct_settlements,pct_water,rail_length_m,road_length_m,unique_trajectory_count,visit_count
250076.6943359375,9.0,R000C000,10.75157164,76.62525892000001,inf,inf,inf,3,0.0,0.0,0.0,0.0,0.0,0.0,1,9
250076.6943359375,3.0,R000C001,10.75157164,76.62983212,inf,inf,inf,4,0.0,0.0,0.0,0.0,0.0,0.0,2,6
250071.2255859375,4.0,R000C002,10.75157164,76.63440526,inf,inf,inf,3,0.0,0.0,0.0,0.0,0.0,0.0,1,4
250076.6953125,8.0,R000C003,10.75157164,76.63897842,inf,inf,inf,5,0.0,0.0,0.0,0.0,0.0,0.0,2,16
250071.2265625,4.0,R000C004,10.75157164,76.64355155999999,inf,inf,inf,5,0.0,0.0,0.0,0.0,0.0,0.0,2,8
250076.693359375,3.5,R000C005,10.75157164,76.64812472,inf,inf,inf,3,0.0,0.0,0.0,0.0,0.0,0.0,2,7
250076.6953125,1.5,R000C006,10.75157164,76.65269792000001,inf,inf,inf,3,0.0,0.0,0.0,0.0,0.0,0.0,2,3
250071.2255859375,8.5,R000C007,10.75157164,76.65727106,inf,inf,inf,4,0.0,0.0,0.0,0.0,0.0,0.0,2,17
250076.6943359375,2.0,R000C008,10.75157164,76.66184422,inf,inf,inf,2,0.0,0.0,0.0,0.0,0.0,0.0,2,4
250076.6943359375,1.0,R000C009,10.75157164,76.66641741999999,inf,inf,inf,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1
250071.2255859375,0,R000C010,10.75157164,76.67099055999999,inf,inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
250076.6943359375,0,R000C011,10.75157164,76.67556371999999,inf,inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
250071.2265625,0,R000C012,10.75157164,76.68013685999999,inf,inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
250076.6943359375,7.0,R000C013,10.75157164,76.68471002,inf,inf,inf,2,0.0,0.0,0.0,0.0,0.0,0.0,1,7
250076.693359375,10.0,R000C014,10.75157164,76.68928322000001,inf,inf,inf,4,0.0,0.0,0.0,0.0,0.0,0.0,1,10
